順位,選手名,チーム,防御率,勝利,敗北,セlブ,ホlルド,投球回,被安打,被本塁打,与四死球,奪三振,自責点,WHIP,被安打率,被本打率,奪三振率,与四死率,DIPS,K/BB,HldR,PFR
1,山本　由伸,オリックス,1.68,15,5,0,0,193.0,137,6,47,205,36,0.93,6.39,0.28,9.56,2.19,2.13,4.88,.831,1.28
2,森下　暢仁,広島,3.17,10,8,0,0,178.2,195,13,52,133,63,1.34,9.82,0.65,6.70,2.62,3.45,3.02,.786,0.99
3,髙橋　光成,西武,2.20,12,8,0,0,175.2,153,9,62,128,43,1.16,7.84,0.46,6.56,3.18,3.35,2.51,.835,1.02
4,戸郷　翔征,巨人,2.62,12,8,0,0,171.2,146,11,59,154,50,1.15,7.65,0.58,8.07,3.09,3.17,3.02,.799,1.19
5,田中　将大,楽天,3.31,9,12,0,0,163.0,160,16,34,126,60,1.17,8.83,0.88,6.96,1.88,3.46,4.20,.753,0.96
6,青柳　晃洋,阪神,2.05,13,4,0,0,162.1,126,7,40,132,37,0.97,6.99,0.39,7.32,2.22,2.72,4.13,.811,1.01
7,大野　雄大,中日,2.46,8,8,0,0,157.0,126,7,43,108,43,1.04,7.22,0.40,6.19,2.46,3.13,2.92,.778,0.92
8,伊藤　大海,日本ハム,2.95,10,9,1,1,155.2,140,5,54,112,51,1.21,8.09,0.29,6.48,3.12,3.14,2.29,.757,1.03
9,柳　裕也,中日,3.64,9,11,0,0,153.1,154,17,42,124,62,1.25,9.04,1.00,7.28,2.47,3.75,3.35,.749,1.05
9,小川　泰弘,ヤクルト,2.82,8,8,0,0,153.1,145,16,35,91,48,1.15,8.51,0.94,5.34,2.05,3.95,2.84,.805,0.80
11,上沢　直之,日本ハム,3.38,8,9,0,0,152.0,129,15,59,127,57,1.18,7.64,0.89,7.52,3.49,3.90,2.54,.757,1.16
12,宮城　大弥,オリックス,3.16,11,8,0,0,148.1,137,11,36,127,52,1.13,8.31,0.67,7.71,2.18,3.08,4.23,.747,1.06
12,西　勇輝,阪神,2.18,9,9,0,0,148.1,132,8,31,93,36,1.07,8.01,0.49,5.64,1.88,3.13,3.58,.819,0.80
14,加藤　貴之,日本ハム,2.01,8,7,0,1,147.2,124,9,12,98,33,0.91,7.56,0.55,5.97,0.73,2.83,8.91,.811,0.74
15,菅野　智之,巨人,3.12,10,7,0,0,147.0,138,15,32,104,51,1.12,8.45,0.92,6.37,1.96,3.66,4.00,.768,0.88
16,小笠原　慎之介,中日,2.76,10,8,0,0,146.2,127,9,40,142,45,1.13,7.79,0.55,8.71,2.45,2.78,3.64,.772,1.23
17,千賀　滉大,ソフトバンク,1.94,11,6,0,0,144.0,103,7,52,156,31,1.06,6.44,0.44,9.75,3.25,2.67,3.18,.838,1.42
18,今永　昇太,DeNA,2.26,11,4,0,0,143.2,106,14,32,132,36,0.94,6.64,0.88,8.27,2.00,3.20,4.55,.823,1.12
19,小島　和哉,ロッテ,3.14,3,11,0,0,143.1,140,10,47,89,50,1.28,8.79,0.63,5.59,2.95,3.75,2.07,.774,0.92
20,岸　孝之,楽天,3.19,8,10,0,0,141.0,116,18,29,118,50,1.02,7.40,1.15,7.53,1.85,3.72,4.21,.748,1.04
21,九里　亜蓮,広島,3.33,6,9,0,0,140.1,147,13,61,121,52,1.43,9.43,0.83,7.76,3.91,3.84,2.28,.800,1.24
22,大貫　晋一,DeNA,2.77,11,8,0,0,136.2,126,13,44,118,42,1.19,8.30,0.86,7.77,2.90,3.55,3.28,.815,1.13
22,伊藤　将司,阪神,2.63,9,5,0,0,136.2,119,10,24,92,40,1.03,7.84,0.66,6.06,1.58,3.19,4.18,.774,0.83
24,石川　柊太,ソフトバンク,3.37,7,10,0,0,136.1,122,9,65,106,51,1.31,8.05,0.59,7.00,4.29,3.83,1.86,.764,1.20
25,東浜　巨,ソフトバンク,3.11,10,6,0,0,136.0,114,14,38,94,47,1.11,7.54,0.93,6.22,2.51,3.91,2.54,.761,0.96
26,大瀬良　大地,広島,4.72,8,9,0,0,135.1,156,18,29,97,71,1.35,10.37,1.20,6.45,1.93,4.01,3.59,.683,0.92
27,サイスニード,ヤクルト,3.54,9,6,0,0,132.1,140,17,31,96,52,1.25,9.52,1.16,6.53,2.11,4.04,3.69,.773,0.92
28,松本　航,西武,3.19,7,6,0,0,129.2,106,8,47,104,46,1.16,7.36,0.56,7.22,3.26,3.38,2.36,.738,1.14
29,佐々木　朗希,ロッテ,2.02,9,4,0,0,129.1,80,7,30,173,29,0.80,5.57,0.49,12.04,2.09,1.80,7.52,.786,1.52
30,山岡　泰輔,オリックス,2.60,6,8,0,1,128.0,118,6,34,99,37,1.13,8.30,0.42,6.96,2.39,2.98,3.67,.788,0.98
31,則本　昂大,楽天,3.53,10,8,0,0,125.0,127,9,42,104,49,1.32,9.14,0.65,7.49,3.02,3.40,2.74,.750,1.14
31,田嶋　大樹,オリックス,2.66,9,3,0,0,125.0,115,12,39,92,37,1.22,8.28,0.86,6.62,2.81,3.83,2.49,.824,1.03
33,石川　歩,ロッテ,2.93,7,7,0,0,123.0,128,12,24,67,40,1.20,9.37,0.88,4.90,1.76,3.81,3.35,.800,0.71
34,エンス,西武,2.94,10,7,0,0,122.1,103,14,48,92,40,1.21,7.58,1.03,6.77,3.53,4.28,2.04,.810,1.12
35,美馬　学,ロッテ,2.91,10,6,0,0,117.2,107,9,32,86,38,1.16,8.18,0.69,6.58,2.45,3.42,2.97,.777,0.98
36,髙橋　宏斗,中日,2.47,6,7,0,0,116.2,79,8,46,134,32,1.04,6.09,0.62,10.34,3.55,2.82,3.19,.795,1.51
37,與座　海人,西武,2.88,10,7,0,0,115.2,104,11,20,61,37,1.04,8.09,0.86,4.75,1.56,3.82,3.81,.770,0.67
38,ロメロ,ロッテ,3.36,8,9,0,0,115.1,107,7,40,77,43,1.26,8.35,0.55,6.01,3.12,3.61,2.03,.743,1.00
39,山﨑　福也,オリックス,3.45,5,8,0,2,114.2,112,13,33,91,44,1.21,8.79,1.02,7.14,2.59,3.87,3.37,.765,1.03
40,床田　寛樹,広島,2.84,8,6,0,0,114.0,87,10,32,74,36,1.01,6.87,0.79,5.84,2.53,3.75,2.64,.761,0.89
41,濵口　遥大,DeNA,3.36,8,7,0,0,112.1,104,8,35,88,42,1.22,8.33,0.64,7.05,2.80,3.39,2.67,.740,1.08
42,メルセデス,巨人,3.18,5,7,0,0,110.1,107,7,34,74,39,1.25,8.73,0.57,6.04,2.77,3.50,2.39,.761,0.95
43,原　樹理,ヤクルト,4.85,8,7,0,0,107.2,132,14,37,52,58,1.52,11.03,1.17,4.35,3.09,4.85,1.63,.716,0.78
44,早川　隆久,楽天,3.86,5,9,0,0,107.1,105,19,26,86,46,1.19,8.80,1.59,7.21,2.18,4.55,3.74,.759,1.02
45,遠藤　淳志,広島,3.59,4,7,0,0,105.1,104,17,21,78,42,1.16,8.89,1.45,6.66,1.79,4.31,4.33,.769,0.91
46,高梨　裕稔,ヤクルト,4.30,7,9,0,0,102.2,103,11,47,84,49,1.40,9.03,0.96,7.36,4.12,4.22,2.05,.727,1.22
46,高橋　奎二,ヤクルト,2.63,8,2,0,0,102.2,75,9,46,113,30,1.09,6.57,0.79,9.91,4.03,3.31,3.05,.813,1.46
48,大関　友久,ソフトバンク,2.93,7,6,0,0,101.1,88,8,32,70,33,1.14,7.82,0.71,6.22,2.84,3.71,2.50,.777,0.97
49,レイ,ソフトバンク,3.96,5,6,0,1,100.0,82,13,36,80,44,1.14,7.38,1.17,7.20,3.24,4.23,2.50,.705,1.12
49,松葉　貴大,中日,3.33,6,7,0,0,100.0,96,4,20,51,37,1.14,8.64,0.36,4.59,1.80,3.16,2.83,.705,0.69
51,山﨑　伊織,巨人,3.14,5,5,0,1,97.1,95,6,29,55,34,1.18,8.78,0.55,5.09,2.68,3.65,2.75,.763,0.77
52,シューメーカー,巨人,4.25,4,8,0,0,95.1,92,13,35,65,45,1.28,8.69,1.23,6.14,3.30,4.63,2.17,.719,1.00
53,ロメロ,DeNA,4.87,6,8,0,0,92.1,100,8,44,54,50,1.46,9.75,0.78,5.26,4.29,4.47,1.54,.691,0.96
53,ガンケル,阪神,2.73,5,5,0,0,92.1,80,6,19,52,28,1.04,7.80,0.58,5.07,1.85,3.42,3.25,.763,0.74
55,辛島　航,楽天,3.40,6,4,0,0,90.0,86,10,27,53,34,1.22,8.60,1.00,5.30,2.70,4.29,2.21,.767,0.86
56,石川　雅規,ヤクルト,4.50,6,4,0,0,84.0,93,16,18,39,42,1.29,9.96,1.71,4.18,1.93,5.24,2.60,.726,0.64
57,ポンセ,日本ハム,3.35,3,5,0,0,83.1,69,10,25,66,31,1.10,7.45,1.08,7.13,2.70,4.00,2.87,.750,1.07
58,石田　健大,DeNA,2.95,7,4,0,0,82.1,67,8,27,68,27,1.13,7.32,0.87,7.43,2.95,3.61,2.62,.779,1.14
59,隅田　知一郎,西武,3.75,1,10,0,0,81.2,90,4,31,73,34,1.47,9.92,0.44,8.04,3.42,3.11,2.43,.744,1.26
60,平井　克典,西武,2.89,6,8,0,2,81.0,77,7,33,48,26,1.28,8.56,0.78,5.33,3.67,4.24,1.78,.816,0.93
60,和田　毅,ソフトバンク,2.78,7,4,0,0,81.0,64,3,23,75,25,1.06,7.11,0.33,8.33,2.56,2.60,3.41,.738,1.20
62,赤星　優志,巨人,4.04,5,5,0,5,78.0,81,8,36,52,35,1.45,9.35,0.92,6.00,4.15,4.47,1.63,.752,1.08
62,瀧中　瞭太,楽天,4.62,2,9,0,0,78.0,94,12,30,42,40,1.55,10.85,1.38,4.85,3.46,5.20,1.56,.750,0.88
64,西　純矢,阪神,2.68,6,3,0,0,77.1,67,7,20,60,23,1.11,7.80,0.81,6.98,2.33,3.52,3.16,.800,1.02
65,上原　健太,日本ハム,3.19,3,5,0,1,73.1,73,2,24,59,26,1.28,8.96,0.25,7.24,2.95,2.85,2.81,.747,1.09
66,ワゲスパック,オリックス,2.97,2,6,5,7,72.2,63,4,33,81,24,1.27,7.80,0.50,10.03,4.09,2.97,2.79,.783,1.51
67,ウィルカーソン,阪神,4.08,5,5,0,0,70.2,70,4,22,54,32,1.29,8.92,0.51,6.88,2.80,3.22,2.57,.682,1.06
68,木澤　尚文,ヤクルト,2.94,9,3,0,8,70.1,57,3,24,52,23,1.11,7.29,0.38,6.65,3.07,3.18,2.48,.744,1.04
69,アンダーソン,広島,3.60,3,4,0,0,70.0,61,9,26,59,28,1.20,7.84,1.16,7.59,3.34,4.22,2.57,.756,1.17
70,伊勢　大夢,DeNA,1.72,3,3,1,39,68.0,52,1,22,69,13,1.01,6.88,0.13,9.13,2.91,2.08,4.06,.836,1.26
71,藤浪　晋太郎,阪神,3.38,3,5,0,0,66.2,58,6,24,65,25,1.19,7.83,0.81,8.78,3.24,3.38,3.10,.750,1.29
71,上茶谷　大河,DeNA,4.73,3,6,0,0,66.2,65,8,19,49,35,1.23,8.78,1.08,6.62,2.57,3.93,2.88,.645,0.99
73,エスコバー,DeNA,2.42,4,2,2,34,63.1,48,4,34,51,17,1.22,6.82,0.57,7.25,4.83,3.85,1.76,.833,1.26
73,吉田　輝星,日本ハム,4.26,2,3,0,5,63.1,53,5,24,40,30,1.20,7.53,0.71,5.68,3.41,4.02,1.74,.653,0.99
75,入江　大生,DeNA,3.00,5,1,0,10,63.0,49,4,27,69,21,1.19,7.00,0.57,9.86,3.86,2.95,2.65,.764,1.51
76,板東　湧梧,ソフトバンク,3.18,3,3,0,3,62.1,45,8,26,48,22,1.11,6.50,1.16,6.93,3.75,4.45,2.00,.778,1.16
77,根本　悠楓,日本ハム,2.52,3,3,0,1,60.2,52,8,28,53,17,1.25,7.71,1.19,7.86,4.15,4.47,2.21,.875,1.27
78,今井　達也,西武,2.41,5,1,0,0,59.2,37,3,39,61,16,1.19,5.58,0.45,9.20,5.88,3.69,1.79,.822,1.59
79,大西　広樹,ヤクルト,4.45,3,2,0,3,58.2,74,8,17,42,29,1.52,11.35,1.23,6.44,2.61,4.13,2.80,.747,0.97
80,湯浅　京己,阪神,1.09,2,3,0,43,58.0,38,1,12,67,7,0.86,5.90,0.16,10.40,1.86,1.65,5.58,.878,1.36
81,平良　海馬,西武,1.56,1,3,9,34,57.2,36,2,20,75,10,0.94,5.62,0.31,11.71,3.12,1.80,4.17,.852,1.61
82,大勢,巨人,2.05,1,3,37,8,57.0,38,7,16,60,13,0.89,6.00,1.11,9.47,2.53,3.45,4.62,.872,1.28
83,東條　大樹,ロッテ,2.08,4,4,0,30,56.1,51,3,14,63,13,1.08,8.15,0.48,10.07,2.24,2.21,6.30,.839,1.30
83,藤井　皓哉,ソフトバンク,1.12,5,1,3,22,56.1,18,4,28,81,7,0.80,2.88,0.64,12.94,4.47,2.50,3.00,.929,1.92
85,水上　由伸,西武,1.77,4,4,1,31,56.0,34,1,22,40,11,0.91,5.46,0.16,6.43,3.54,3.05,2.35,.818,1.02
85,本前　郁也,ロッテ,4.66,3,2,0,0,56.0,61,14,28,40,29,1.55,9.80,2.25,6.43,4.50,6.39,1.54,.800,1.18
85,涌井　秀章,楽天,3.54,4,3,0,0,56.0,50,6,11,35,22,1.07,8.04,0.96,5.63,1.77,3.85,3.50,.709,0.80
88,西口　直人,楽天,2.26,4,0,0,30,55.2,39,2,28,59,14,1.17,6.31,0.32,9.54,4.53,2.87,2.27,.815,1.53
88,Ｒ．マルティネス,中日,0.97,4,3,39,5,55.2,30,2,16,62,6,0.75,4.85,0.32,10.02,2.59,2.11,5.17,.909,1.33
88,松本　竜也,広島,3.56,4,2,0,4,55.2,58,5,18,54,22,1.31,9.38,0.81,8.73,2.91,3.26,3.60,.761,1.24
88,京山　将弥,DeNA,3.23,2,2,0,1,55.2,56,4,35,39,20,1.54,9.05,0.65,6.31,5.66,4.54,1.30,.816,1.24
92,岩崎　優,阪神,1.96,1,6,28,11,55.0,63,1,12,44,12,1.33,10.31,0.16,7.20,1.96,2.36,4.40,.851,0.98
93,ロドリゲス,中日,1.15,6,2,0,39,54.2,32,0,22,60,7,0.91,5.27,0.00,9.88,3.62,2.02,3.33,.870,1.43
94,山﨑　康晃,DeNA,1.33,0,2,37,3,54.1,29,4,9,42,8,0.70,4.80,0.66,6.96,1.49,2.97,4.67,.882,0.94
95,マクガフ,ヤクルト,2.35,2,2,38,4,53.2,39,5,14,59,14,0.97,6.54,0.84,9.89,2.35,2.80,4.54,.813,1.34
96,今村　信貴,巨人,3.57,2,4,0,21,53.0,45,3,26,34,21,1.26,7.64,0.51,5.77,4.42,3.99,1.55,.735,1.06
97,モイネロ,ソフトバンク,1.03,1,1,24,8,52.2,22,2,22,87,6,0.80,3.76,0.34,14.87,3.76,1.51,4.35,.905,2.03
98,佐藤　奨真,ロッテ,4.64,2,6,0,0,52.1,48,4,17,28,27,1.22,8.25,0.69,4.82,2.92,4.02,1.75,.623,0.84
99,益田　直也,ロッテ,3.29,1,2,25,8,52.0,46,6,22,47,19,1.25,7.96,1.04,8.13,3.81,3.91,2.47,.790,1.27
100,宋　家豪,楽天,2.61,4,2,0,20,51.2,45,5,15,38,15,1.16,7.84,0.87,6.62,2.61,3.72,2.53,.818,1.03
100,松井　裕樹,楽天,1.92,1,3,32,7,51.2,21,4,19,83,11,0.77,3.66,0.70,14.46,3.31,1.96,4.37,.806,1.97
102,北山　亘基,日本ハム,3.51,3,5,9,16,51.1,37,3,32,58,20,1.27,6.49,0.53,10.17,5.61,3.43,2.07,.742,1.68
102,増田　達至,西武,2.45,2,5,31,5,51.1,37,7,10,34,14,0.92,6.49,1.23,5.96,1.75,3.98,3.40,.825,0.86
104,藤嶋　健人,中日,2.13,2,1,0,10,50.2,39,3,12,43,12,0.99,6.93,0.53,7.64,2.13,2.90,3.91,.813,1.07
104,松本　裕樹,ソフトバンク,2.66,5,1,0,15,50.2,40,6,15,60,15,1.07,7.11,1.07,10.66,2.66,3.12,4.29,.816,1.46
104,東　克樹,DeNA,4.62,1,6,0,0,50.2,67,5,12,41,26,1.52,11.90,0.89,7.28,2.13,3.50,4.10,.716,1.01
107,清水　達也,中日,3.04,3,3,1,32,50.1,28,1,18,51,17,0.89,5.01,0.18,9.12,3.22,2.37,3.00,.644,1.35
107,本田　圭佑,西武,1.97,4,2,0,20,50.1,37,2,18,33,11,1.03,6.62,0.36,5.90,3.22,3.34,2.20,.830,0.95
109,平内　龍太,巨人,4.32,4,4,0,13,50.0,53,4,16,39,24,1.32,9.54,0.72,7.02,2.88,3.56,3.00,.692,1.04
110,安樂　智大,楽天,4.38,6,2,1,13,49.1,51,2,14,39,24,1.28,9.30,0.36,7.11,2.55,2.86,3.25,.651,1.03
110,矢崎　拓也,広島,1.82,2,0,1,17,49.1,35,2,25,51,10,1.22,6.39,0.36,9.30,4.56,3.04,2.04,.862,1.54
112,宮川　哲,西武,2.59,1,0,1,1,48.2,46,3,19,44,14,1.34,8.51,0.55,8.14,3.51,3.22,2.32,.823,1.29
113,栗林　良吏,広島,1.49,0,2,31,6,48.1,22,0,17,59,8,0.77,4.10,0.00,10.99,3.17,1.61,3.93,.795,1.53
114,坂本　裕哉,DeNA,6.19,0,5,0,0,48.0,52,9,24,28,33,1.52,9.75,1.69,5.25,4.50,5.89,1.33,.642,1.02
115,浜地　真澄,阪神,1.14,1,3,0,21,47.1,38,3,5,38,6,0.91,7.23,0.57,7.23,0.95,2.59,7.60,.925,0.91
