date,op_pitcher,team
3/25,－北山,vs.ソフトバンク
3/26,－堀,vs.ソフトバンク
3/27,－吉田,vs.ソフトバンク
3/28,,
3/29,●上沢,vs.西武
3/30,●加藤,vs.西武
3/31,○立野,vs.西武
4/1,●根本,vs.オリックス
4/2,●伊藤,vs.オリックス
4/3,－河野,vs.オリックス
4/4,,
4/5,●上沢,vs.ロッテ
4/6,－加藤,vs.ロッテ
4/7,,
4/8,●伊藤,vs.楽天
4/9,●河野,vs.楽天
4/10,－上沢,vs.楽天
4/11,,
4/12,○加藤,vs.西武
4/13,●立野,vs.西武
4/14,,
4/15, ,vs.ロッテ
4/16,○伊藤,vs.ロッテ
4/17,－上沢,vs.ロッテ
4/18,,
4/19,○加藤,vs.楽天
4/20,●ポンセ,vs.楽天
4/21,●立野,vs.楽天
4/22,○伊藤,vs.ソフトバンク
4/23,●上沢,vs.ソフトバンク
4/24,●杉浦,vs.ソフトバンク
4/25,,
4/26,－加藤,vs.オリックス
4/27,－ポンセ,vs.オリックス
4/28,○伊藤,vs.オリックス
4/29, ,vs.ロッテ
4/30,●上沢,vs.ロッテ
5/1,○杉浦,vs.ロッテ
5/2,,
5/3,●加藤,vs.楽天
5/4,●金子千尋,vs.楽天
5/5,●伊藤,vs.楽天
5/6,●生田目,vs.西武
5/7,○上沢,vs.西武
5/8,●杉浦,vs.西武
5/9,,
5/10,●加藤,vs.オリックス
5/11,○金子千尋,vs.オリックス
5/12,,
5/13,○伊藤,vs.ソフトバンク
5/14,○上沢,vs.ソフトバンク
5/15,○杉浦,vs.ソフトバンク
5/16,,
5/17,●加藤,vs.オリックス
5/18,－生田目,vs.オリックス
5/19,,
5/20,○伊藤,vs.西武
5/21,○上沢,vs.西武
5/22,●金子千尋,vs.西武
5/23,,
5/24,－加藤,vs.ヤクルト
5/25,－上原,vs.ヤクルト
5/26,－伊藤,vs.ヤクルト
5/27,○上沢,vs.巨人
5/28,●杉浦,vs.巨人
5/29,○根本,vs.巨人
5/30,,
5/31,－加藤,vs.広島
6/1,○上原,vs.広島
6/2,●伊藤,vs.広島
6/3,－上沢,vs.阪神
6/4,●杉浦,vs.阪神
6/5,●吉田,vs.阪神
6/6,,
6/7,－加藤,vs.DeNA
6/8,○上原,vs.DeNA
6/9,－根本,vs.DeNA
6/10,－上沢,vs.中日
6/11,○杉浦,vs.中日
6/12,○加藤,vs.中日
6/13,,
6/14,,
6/15,,
6/16,,
6/17,－上沢,vs.ロッテ
6/18,●伊藤,vs.ロッテ
6/19,●上原,vs.ロッテ
6/20,,
6/21,●吉田,vs.楽天
6/22,－加藤,vs.楽天
6/23,,
6/24,●上沢,vs.ソフトバンク
6/25,●伊藤,vs.ソフトバンク
6/26,－ポンセ,vs.ソフトバンク
6/27,,
6/28,●上原,vs.西武
6/29,●吉田,vs.西武
6/30,,
7/1,○上沢,vs.オリックス
7/2,○伊藤,vs.オリックス
7/3,●杉浦,vs.オリックス
7/4,,
7/5,－ポンセ,vs.ロッテ
7/6,●上原,vs.ロッテ
7/7,○田中,vs.ロッテ
7/8,－上沢,vs.ソフトバンク
7/9,○伊藤,vs.ソフトバンク
7/10,○池田,vs.ソフトバンク
7/11,,
7/12,,
7/13,○ポンセ,vs.楽天
7/14,○加藤,vs.楽天
7/15,,
7/16,○上沢,vs.西武
7/17,●伊藤,vs.西武
7/18,●池田,vs.西武
7/19,●田中,vs.オリックス
7/20,●根本,vs.オリックス
7/21,●ポンセ,vs.オリックス
7/22,,
7/23,－河野,vs.ロッテ
7/24,○伊藤,vs.ロッテ
7/25,,
7/26,,
7/27,,
7/28,,
7/29,○ポンセ,vs.楽天
7/30,●田中,vs.楽天
7/31,－根本,vs.楽天
8/1,,
8/2,○伊藤,vs.ソフトバンク
8/3,○上原,vs.ソフトバンク
8/4,－杉浦,vs.ソフトバンク
8/5,●ポンセ,vs.オリックス
8/6,●田中,vs.オリックス
8/7,○根本,vs.オリックス
8/8,,
8/9,－伊藤,vs.西武
8/10,－上原,vs.西武
8/11,－鈴木,vs.西武
8/12,－ポンセ,vs.ロッテ
8/13, ,vs.ロッテ
8/14,○加藤,vs.ロッテ
8/15,,
8/16,●根本,vs.楽天
8/17,●上原,vs.楽天
8/18,●伊藤,vs.楽天
8/19,●ポンセ,vs.ソフトバンク
8/20,●上沢,vs.ソフトバンク
8/21,●加藤,vs.ソフトバンク
8/22,,
8/23,－鈴木,vs.オリックス
8/24,●上原,vs.オリックス
8/25,,
8/26,●伊藤,vs.ソフトバンク
8/27,○ポンセ,vs.ソフトバンク
8/28,●加藤,vs.ソフトバンク
8/29,,
8/30,●上沢,vs.西武
8/31,－根本,vs.西武
9/1, ,vs.西武
9/2,○伊藤,vs.楽天
9/3,－ポンセ,vs.楽天
9/4,○加藤,vs.楽天
9/5,,
9/6,○上沢,vs.オリックス
9/7,－上原,vs.オリックス
9/8,－メネズ,vs.ロッテ
9/9,,
9/10,－伊藤,vs.西武
9/11,●ポンセ,vs.西武
9/12,●加藤,vs.ロッテ
9/13,○上沢,vs.ロッテ
9/14,●鈴木,vs.ロッテ
9/15,－根本,vs.オリックス
9/16,○メネズ,vs.オリックス
9/17,－伊藤,vs.ロッテ
9/18,－ポンセ,vs.ロッテ
9/19,○加藤,vs.ロッテ
9/20,●上沢,vs.ソフトバンク
9/21,,
9/22,,
9/23,－根本,vs.楽天
9/24,●池田,vs.西武
9/25,－達,vs.楽天
9/26,○加藤,vs.楽天
9/27,○鈴木,vs.ロッテ
9/28,●上沢,vs.ロッテ
9/29,,
9/30,,
10/1,,
10/2,○根本,vs.西武
